Local time,Open,High,Low,Close,Volume
01.08.2024 00:00:00.000 GMT+0100,1.28563,1.28569,1.28563,1.28564,19.35
01.08.2024 00:00:03.000 GMT+0100,1.28564,1.28564,1.28564,1.28564,0.9
01.08.2024 00:00:04.000 GMT+0100,1.28563,1.28563,1.28563,1.28563,0.9
01.08.2024 00:00:05.000 GMT+0100,1.28561,1.28563,1.28561,1.28563,9
01.08.2024 00:00:06.000 GMT+0100,1.28561,1.28561,1.28555,1.28557,21.600000000000005
01.08.2024 00:00:07.000 GMT+0100,1.28557,1.28557,1.28557,1.28557,0.9
01.08.2024 00:00:08.000 GMT+0100,1.28557,1.28557,1.28557,1.28557,4.5
01.08.2024 00:00:10.000 GMT+0100,1.28558,1.28558,1.28558,1.28558,0.9
01.08.2024 00:00:11.000 GMT+0100,1.28560,1.28560,1.28560,1.28560,0.9
01.08.2024 00:00:28.000 GMT+0100,1.28558,1.28558,1.28558,1.28558,0.9
01.08.2024 00:00:30.000 GMT+0100,1.28559,1.28559,1.28559,1.28559,0.9
01.08.2024 00:00:39.000 GMT+0100,1.28559,1.28559,1.28559,1.28559,1.8
01.08.2024 00:00:42.000 GMT+0100,1.28559,1.28559,1.28559,1.28559,0.9
01.08.2024 00:00:44.000 GMT+0100,1.28558,1.28558,1.28558,1.28558,0.9
01.08.2024 00:00:49.000 GMT+0100,1.28560,1.28560,1.28560,1.28560,0.9
01.08.2024 00:00:50.000 GMT+0100,1.28560,1.28560,1.28560,1.28560,0.9
01.08.2024 00:00:53.000 GMT+0100,1.28559,1.28559,1.28559,1.28559,0.9
01.08.2024 00:00:54.000 GMT+0100,1.28560,1.28560,1.28560,1.28560,0.9
01.08.2024 00:00:55.000 GMT+0100,1.28561,1.28561,1.28561,1.28561,0.9
01.08.2024 00:00:59.000 GMT+0100,1.28562,1.28562,1.28562,1.28562,0.9
01.08.2024 00:01:00.000 GMT+0100,1.28563,1.28564,1.28563,1.28563,4.500000000000001
01.08.2024 00:01:15.000 GMT+0100,1.28564,1.28565,1.28563,1.28563,3.6
01.08.2024 00:02:04.000 GMT+0100,1.28561,1.28561,1.28561,1.28561,0.9
01.08.2024 00:02:06.000 GMT+0100,1.28561,1.28561,1.28561,1.28561,0.9
01.08.2024 00:02:12.000 GMT+0100,1.28560,1.28560,1.28560,1.28560,0.9
01.08.2024 00:02:41.000 GMT+0100,1.28560,1.28560,1.28560,1.28560,0.9
01.08.2024 00:02:42.000 GMT+0100,1.28560,1.28560,1.28560,1.28560,0.9
01.08.2024 00:03:42.000 GMT+0100,1.28560,1.28560,1.28560,1.28560,0.9
01.08.2024 00:03:43.000 GMT+0100,1.28560,1.28560,1.28560,1.28560,0.9
01.08.2024 00:03:47.000 GMT+0100,1.28560,1.28560,1.28560,1.28560,0.9
01.08.2024 00:03:51.000 GMT+0100,1.28560,1.28560,1.28560,1.28560,0.9
01.08.2024 00:03:53.000 GMT+0100,1.28560,1.28560,1.28560,1.28560,0.9
01.08.2024 00:03:59.000 GMT+0100,1.28560,1.28560,1.28560,1.28560,0.9
01.08.2024 00:04:02.000 GMT+0100,1.28560,1.28560,1.28560,1.28560,0.9
01.08.2024 00:04:44.000 GMT+0100,1.28554,1.28554,1.28554,1.28554,10.8
01.08.2024 00:04:45.000 GMT+0100,1.28553,1.28554,1.28553,1.28554,1.8
01.08.2024 00:04:51.000 GMT+0100,1.28551,1.28551,1.28551,1.28551,5.4
01.08.2024 00:04:55.000 GMT+0100,1.28552,1.28552,1.28552,1.28552,5.4
01.08.2024 00:04:56.000 GMT+0100,1.28551,1.28552,1.28551,1.28552,10.8
01.08.2024 00:05:01.000 GMT+0100,1.28552,1.28552,1.28552,1.28552,5.4
01.08.2024 00:05:08.000 GMT+0100,1.28553,1.28553,1.28552,1.28552,6.3
01.08.2024 00:05:09.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:06:04.000 GMT+0100,1.28554,1.28554,1.28554,1.28554,1.8
01.08.2024 00:06:59.000 GMT+0100,1.28554,1.28554,1.28554,1.28554,0.9
01.08.2024 00:07:58.000 GMT+0100,1.28556,1.28556,1.28555,1.28555,1.8
01.08.2024 00:08:45.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:08:52.000 GMT+0100,1.28554,1.28554,1.28554,1.28554,0.9
01.08.2024 00:08:53.000 GMT+0100,1.28554,1.28554,1.28554,1.28554,1.8
01.08.2024 00:09:33.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:09:44.000 GMT+0100,1.28554,1.28554,1.28554,1.28554,0.9
01.08.2024 00:09:53.000 GMT+0100,1.28553,1.28553,1.28553,1.28553,0.9
01.08.2024 00:10:04.000 GMT+0100,1.28556,1.28556,1.28555,1.28555,2.7000000000000006
01.08.2024 00:10:05.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,1.8
01.08.2024 00:10:43.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,1.8
01.08.2024 00:11:00.000 GMT+0100,1.28557,1.28557,1.28557,1.28557,0.9
01.08.2024 00:11:55.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,1.8
01.08.2024 00:12:10.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:12:26.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:12:52.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:12:53.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:13:15.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:13:43.000 GMT+0100,1.28553,1.28553,1.28553,1.28553,0.9
01.08.2024 00:14:03.000 GMT+0100,1.28552,1.28552,1.28552,1.28552,0.9
01.08.2024 00:14:08.000 GMT+0100,1.28554,1.28554,1.28554,1.28554,0.9
01.08.2024 00:14:09.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:14:19.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:14:21.000 GMT+0100,1.28554,1.28554,1.28554,1.28554,0.9
01.08.2024 00:15:38.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:15:41.000 GMT+0100,1.28554,1.28554,1.28554,1.28554,1.8
01.08.2024 00:15:44.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:15:49.000 GMT+0100,1.28557,1.28557,1.28557,1.28557,0.9
01.08.2024 00:15:59.000 GMT+0100,1.28551,1.28551,1.28548,1.28548,6.3
01.08.2024 00:16:00.000 GMT+0100,1.28547,1.28547,1.28547,1.28547,2.7000000000000006
01.08.2024 00:16:01.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,0.9
01.08.2024 00:16:04.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:16:06.000 GMT+0100,1.28550,1.28550,1.28550,1.28550,0.9
01.08.2024 00:16:10.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:16:13.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:16:14.000 GMT+0100,1.28550,1.28550,1.28550,1.28550,0.9
01.08.2024 00:16:18.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:16:19.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,0.9
01.08.2024 00:16:22.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,0.9
01.08.2024 00:16:23.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:16:26.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,0.9
01.08.2024 00:16:27.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:16:36.000 GMT+0100,1.28552,1.28566,1.28552,1.28566,6.3
01.08.2024 00:16:37.000 GMT+0100,1.28565,1.28565,1.28564,1.28564,1.8
01.08.2024 00:16:38.000 GMT+0100,1.28566,1.28568,1.28566,1.28568,5.4
01.08.2024 00:16:48.000 GMT+0100,1.28567,1.28568,1.28567,1.28568,1.8
01.08.2024 00:16:51.000 GMT+0100,1.28568,1.28568,1.28568,1.28568,1.8
01.08.2024 00:16:56.000 GMT+0100,1.28567,1.28568,1.28567,1.28568,1.8
01.08.2024 00:16:57.000 GMT+0100,1.28568,1.28568,1.28568,1.28568,0.9
01.08.2024 00:16:59.000 GMT+0100,1.28568,1.28568,1.28568,1.28568,0.9
01.08.2024 00:17:00.000 GMT+0100,1.28567,1.28569,1.28567,1.28569,1.8
01.08.2024 00:17:01.000 GMT+0100,1.28568,1.28569,1.28568,1.28569,1.8
