,cause,effect,optimal_lag,f_stat,p_value,significant
0,ADAUSDT,BNBUSDT,59,6.397710684287937,1.0065911841174865e-47,True
1,ADAUSDT,BTCUSDT,59,4.6959579012965555,7.48992829918548e-30,True
2,ADAUSDT,DOGEUSDT,79,5.969677565350193,7.551624252887481e-57,True
3,ADAUSDT,ETHUSDT,59,4.3805760153759215,1.1053464296311046e-26,True
4,ADAUSDT,XRPUSDT,100,6.82148374944223,1.2385997299786401e-86,True
5,BNBUSDT,ADAUSDT,59,3.440709966694925,1.2097043433088333e-17,True
6,BNBUSDT,BTCUSDT,52,3.7638991610249892,1.7865707557834665e-18,True
7,BNBUSDT,DOGEUSDT,59,6.002806455626107,1.753159542583511e-43,True
8,BNBUSDT,ETHUSDT,56,3.0454927336049535,1.8049975120875498e-13,True
9,BNBUSDT,XRPUSDT,99,7.361461922341147,1.1829697966094275e-95,True
10,BTCUSDT,ADAUSDT,59,3.9806484794622965,9.391778425951138e-23,True
11,BTCUSDT,BNBUSDT,52,4.944838347528508,7.934352187779853e-29,True
12,BTCUSDT,DOGEUSDT,80,6.873938874601648,1.0364922594090772e-70,True
13,BTCUSDT,ETHUSDT,59,5.617189033175225,2.170574265566304e-39,True
14,BTCUSDT,XRPUSDT,99,7.365202280233808,1.0100861276507333e-95,True
15,DOGEUSDT,ADAUSDT,79,2.9139107415397274,1.2112358282049928e-16,True
16,DOGEUSDT,BNBUSDT,59,6.378241278311699,1.633119161511657e-47,True
17,DOGEUSDT,BTCUSDT,80,3.540612803220488,2.085864681095054e-24,True
18,DOGEUSDT,ETHUSDT,77,4.113066547761556,1.1108347214936255e-30,True
19,DOGEUSDT,XRPUSDT,99,6.452227564366709,3.9552378966687355e-79,True
20,ETHUSDT,ADAUSDT,59,3.521396881263098,2.1654737455507593e-18,True
21,ETHUSDT,BNBUSDT,56,4.4820895141394566,2.096970995466783e-26,True
22,ETHUSDT,BTCUSDT,59,4.148310291055582,2.18128171655023e-24,True
23,ETHUSDT,DOGEUSDT,77,5.748074854801846,2.0345018783919812e-52,True
24,ETHUSDT,XRPUSDT,99,6.499990773640709,5.464902139214602e-80,True
25,XRPUSDT,ADAUSDT,100,5.088538745371171,1.244693104513934e-55,True
26,XRPUSDT,BNBUSDT,99,6.6756986324769185,3.687349391832106e-83,True
27,XRPUSDT,BTCUSDT,99,4.612984221414638,5.052512571852795e-47,True
28,XRPUSDT,DOGEUSDT,99,7.12173029145273,2.8879746235362883e-91,True
29,XRPUSDT,ETHUSDT,99,4.889062456296276,1.0858760121790002e-51,True
