,series1,series2,lb_statistic,lb_pvalue,significant
0,ADAUSDT,BNBUSDT,5025.035968335234,0.0,True
1,ADAUSDT,BTCUSDT,2340.443426545441,9.501424218509347e-126,True
2,ADAUSDT,DOGEUSDT,7379.287075275618,0.0,True
3,ADAUSDT,ETHUSDT,2878.403892393214,0.0,True
4,ADAUSDT,XRPUSDT,2951.080130167873,0.0,True
5,BNBUSDT,BTCUSDT,3536.630674935044,6.808096149056221e-274,True
6,BNBUSDT,DOGEUSDT,849.3793750982529,2.0351681867011874e-43,True
7,BNBUSDT,ETHUSDT,1577.3459129280104,1.0369778968630108e-217,True
8,BNBUSDT,XRPUSDT,1743.3051666510132,5.077619396182528e-283,True
9,BTCUSDT,DOGEUSDT,2213.9802813743336,3.305241268965916e-77,True
10,BTCUSDT,ETHUSDT,6173.778388243305,0.0,True
11,BTCUSDT,XRPUSDT,5502.962385431812,0.0,True
12,DOGEUSDT,ETHUSDT,808.6013217331922,1.4669280518426384e-35,True
13,DOGEUSDT,XRPUSDT,560.1895406922907,4.434271661406042e-19,True
14,ETHUSDT,XRPUSDT,4982.754590496215,0.0,True
