,cause,effect,min_p_value,optimal_lag,significant
0,ADAUSDT,BNBUSDT,1.044430557591676e-15,2,True
1,BNBUSDT,ADAUSDT,4.825190002911701e-54,1,True
2,ADAUSDT,BTCUSDT,4.4818362820200416e-17,10,True
3,BTCUSDT,ADAUSDT,2.2431020790420575e-18,10,True
4,ADAUSDT,DOGEUSDT,1.2297109517181031e-17,10,True
5,DOGEUSDT,ADAUSDT,2.075613955529848e-51,7,True
6,ADAUSDT,ETHUSDT,5.60142483429132e-20,9,True
7,ETHUSDT,ADAUSDT,1.972266489207504e-25,9,True
8,ADAUSDT,XRPUSDT,1.4703014776966558e-37,10,True
9,XRPUSDT,ADAUSDT,1.1326735462619434e-86,10,True
10,BNBUSDT,BTCUSDT,6.461247715079303e-29,1,True
11,BTCUSDT,BNBUSDT,1.217757704719823e-14,10,True
12,BNBUSDT,DOGEUSDT,4.104319808120765e-30,6,True
13,DOGEUSDT,BNBUSDT,4.485613686939961e-35,3,True
14,BNBUSDT,ETHUSDT,9.826969362013022e-22,8,True
15,ETHUSDT,BNBUSDT,1.941277211065002e-12,5,True
16,BNBUSDT,XRPUSDT,1.9565763710367673e-42,5,True
17,XRPUSDT,BNBUSDT,8.102505933167681e-71,9,True
18,BTCUSDT,DOGEUSDT,2.873962213430514e-22,8,True
19,DOGEUSDT,BTCUSDT,1.0494557008223797e-62,8,True
20,BTCUSDT,ETHUSDT,3.989767944392586e-11,10,True
21,ETHUSDT,BTCUSDT,3.5407327608880786e-19,10,True
22,BTCUSDT,XRPUSDT,5.452492945579237e-44,8,True
23,XRPUSDT,BTCUSDT,1.163056439535129e-89,9,True
24,DOGEUSDT,ETHUSDT,2.8016088850969258e-40,8,True
25,ETHUSDT,DOGEUSDT,1.8488505870225523e-29,9,True
26,DOGEUSDT,XRPUSDT,7.397400962537251e-60,10,True
27,XRPUSDT,DOGEUSDT,3.118279700152564e-65,9,True
28,ETHUSDT,XRPUSDT,3.5370998290972104e-45,10,True
29,XRPUSDT,ETHUSDT,2.521488070793634e-71,10,True
