,cause,effect,optimal_lag,f_stat,p_value,significant
0,ADAUSDT,BNBUSDT,1,239.57660253354445,6.718951570267204e-54,True
1,ADAUSDT,BTCUSDT,1,27.179370324911048,1.862510781319035e-07,True
2,ADAUSDT,DOGEUSDT,1,200.69343094606126,1.849962468312283e-45,True
3,ADAUSDT,ETHUSDT,1,42.72741513931163,6.360061214368595e-11,True
4,ADAUSDT,XRPUSDT,1,220.49317024480098,9.284284995755093e-50,True
5,BNBUSDT,ADAUSDT,1,56.39537732178892,6.037168965112426e-14,True
6,BNBUSDT,BTCUSDT,1,47.36989938645163,5.955251564249593e-12,True
7,BNBUSDT,DOGEUSDT,1,139.98622430938198,2.995508057774352e-32,True
8,BNBUSDT,ETHUSDT,1,26.574867377125738,2.545994049438521e-07,True
9,BNBUSDT,XRPUSDT,1,105.12447973091228,1.2215397135602322e-24,True
10,BTCUSDT,ADAUSDT,1,46.07843710035221,1.1502899652205085e-11,True
11,BTCUSDT,BNBUSDT,1,124.51807034618378,7.085896249051034e-29,True
12,BTCUSDT,DOGEUSDT,1,210.81087310430314,1.1741926325086422e-47,True
13,BTCUSDT,ETHUSDT,1,2.8321377324259016,0.09240228955387797,False
14,BTCUSDT,XRPUSDT,1,56.213000364489716,6.623164782696637e-14,True
15,DOGEUSDT,ADAUSDT,1,8.259069608497771,0.004056803971561168,True
16,DOGEUSDT,BNBUSDT,1,104.63798425774898,1.560585736705714e-24,True
17,DOGEUSDT,BTCUSDT,1,0.31870616572633903,0.5723890681297716,False
18,DOGEUSDT,ETHUSDT,1,8.934629387217072,0.0027996657998026714,True
19,DOGEUSDT,XRPUSDT,1,156.5285372679076,7.453973591601056e-36,True
20,ETHUSDT,ADAUSDT,1,21.318133277744582,3.901167949214698e-06,True
21,ETHUSDT,BNBUSDT,1,87.93784563191987,7.059868588609767e-21,True
22,ETHUSDT,BTCUSDT,1,1.412867376280419,0.2345872988914126,False
23,ETHUSDT,DOGEUSDT,1,129.04647593007883,7.281687157226085e-30,True
24,ETHUSDT,XRPUSDT,1,59.419256509192316,1.3004440147453969e-14,True
25,XRPUSDT,ADAUSDT,1,11.665473276226948,0.0006372740185818731,True
26,XRPUSDT,BNBUSDT,1,68.24971938890127,1.4796336278704151e-16,True
27,XRPUSDT,BTCUSDT,1,63.0590248903515,2.052615188704962e-15,True
28,XRPUSDT,DOGEUSDT,1,29.863628778930185,4.660009331145549e-08,True
29,XRPUSDT,ETHUSDT,1,13.097218519287022,0.00029606118344435863,True
