,series1,series2,lb_statistic,lb_pvalue,significant
0,ADAUSDT,BNBUSDT,14950.84782138574,0.0,True
1,ADAUSDT,BTCUSDT,4577.368677149078,0.0,True
2,ADAUSDT,DOGEUSDT,28505.037363931224,0.0,True
3,ADAUSDT,ETHUSDT,13796.775981071667,0.0,True
4,ADAUSDT,XRPUSDT,20644.86327731143,0.0,True
5,BNBUSDT,BTCUSDT,7169.747404320847,0.0,True
6,BNBUSDT,DOGEUSDT,20398.65067949542,0.0,True
7,BNBUSDT,ETHUSDT,12124.93916771787,0.0,True
8,BNBUSDT,XRPUSDT,17099.567016020403,0.0,True
9,BTCUSDT,DOGEUSDT,3458.8480165425804,0.0034325395958577226,True
10,BTCUSDT,ETHUSDT,4435.5872932892635,0.0,True
11,BTCUSDT,XRPUSDT,1204.5022934555582,1.2681678688150695e-53,True
12,DOGEUSDT,ETHUSDT,13268.220372602478,0.0,True
13,DOGEUSDT,XRPUSDT,21619.550342391147,0.0,True
14,ETHUSDT,XRPUSDT,9510.84706153763,0.0,True
